PAVLN_CHARST,DSPY_NM,FSPY_BGNDE,DSPY_ENNDE,DSPY_STATE_CD,DSPY_STATE_NM,PLACE,OPEN_DATE,OPEN_TIME,MNNST,WRITR,PRDCT,TIME_CHARST,VIEWING_CHARST,EBOOK_URL,EBOOK_NM,DSPY_IMAGE_URL,DSPY_IMAGE_NM,DSPY_ENG_NM,DSPY_ENG_CN,RDCNT
1관,뮤지엄 버스킹(Museum Busking),20170512,20170528,P,종료    ,"소마미술관 2~5전시실, 백남준 비디오 아트홀",,,국민체육진흥공단 소마미술관 국민체육진흥공단 소마미술관,"박지은, 신제현, 오종원, 이민혁, 정원연, 조명식, 최윤석, 프로젝트그룹 옆, 한받",퍼포먼스 설치 작품 40여점,10:00~18:00(입장마감 17:20)▒매주 월요일 휴관,"성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원▒성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원▒▒",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/15/c087946e-85af-47c3-8d70-17cc42543f21.jpg,뮤지엄 버스킹.JPG,Museum Busking,,1522
1관,Into Drawing 35 살갗의 사건,20170512,20170528,P,종료    ,소마미술관 드로잉센터 전시실(제1전시실),,,국민체육진흥공단 소마미술관,고등어 Mackerel Safranski,"드로잉, 설치 등 10여점",10:00~18:00(입장마감 17:20)▒매주 월요일 휴관,▒▒▒메인전시 (내가 사는 피부) 관람 시 무료 관람,,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/09/e5485a92-0096-4bde-96b0-880f863cffe2.jpg,인투35-포스터-최종.pdf_page_1.jpg,Into Drawing 35_Accident of Flesh,,1490
1관,Trace &amp; Grace-한 소장가의 꿈. 길,20070601,20070704,P,종료    ,소마미술관,,,"소마미술관, 아트센터나비 / 국민체육진흥공단",,"회화, 판화, 조각 등 약 80여 점",10:00~18:00(입장마감 17:00)▒매주 월요일 휴관,▒▒▒,,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/7c519d49-462f-46f3-b0c2-cd46c696c108.jpg,"2007_한소장가의 꿈,길_포스터.jpg",Trace and Grace,,9477
1관,Into Drawing 31 낮은 물음,20161007,20161023,P,종료    ,소마드로잉센터 전시실(제1전시실),,,국민체육진흥공단 소마미술관,박명미 Myungmi Park,"드로잉, 오브제, 회화, 설치, 영상 등 10여점","10:00~18:00(입장마감 17:20)▒문화가 있는 날(매월 마지막 주 수요일 및 금요일) 야간 연장 개관(10:00~21:00, 입장마감 20:20)▒문화의 달(2016년 9월 23일 ~ 10월 30일) 기존과 운영시간 동일▒매주 월요일 휴관",▒▒▒메인 전시(어느 곳도 아닌 이곳) 관람 시 무료 관람▒문화가 있는 날 전체 관람객 무료입장▒문화의 달 전체 관람객 무료입장,,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/09/6126414e-bbf5-47d8-8c86-457df1b11f01.jpg,인투드로잉 31-포스터-최종.pdf_page_1.jpg,Into Drawing 31_The Low Question,,1885
1관,중력과 시간_움직이는 조각,20130206,20130331,P,종료    ,소마미술관 전관,,,국민체육진흥공단 소마미술관,"노해율, 박종영, 신성환, 신정필, 에브리웨어, 왕지원, 천민정, 최선호, 최종운, 하광석, 한진수 등 총 11명","조각, 설치, 영상 등 30여점","10:00~18:00(입장마감 17:00)▒도슨트 시간 : [목, 금] 오후 2시, 4시 [주말] 오전 11시, 오후 1시, 2시, 4시▒매주 월요일 및 설날 당일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원▒성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원▒▒",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/d2b0ceec-59e8-462c-a815-e777b0d43992.jpg,2013_중력과시간_포스터.pdf_page_1.jpg,Gravity and Time_Moving Sculpture,,7490
1관,Into Drawing 19 돌연변이의 왕국,20121102,20121118,P,종료    ,소마미술관 제5전시실,,,국민체육진흥공단 소마미술관,다발킴 Dabal Kim,"드로잉, 설치 약 10여점",10:00~18:00(입장마감 17:00)▒매주 월요일 휴관,▒▒▒메인전시 (몸의 사유) 관람 시 무료 관람,,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/b1156be8-ad1d-4443-98e9-b1980d1e609d.jpg,D2012_intodrawing19_포스터.jpg,Into Drawing 19_Kingdom of Mutation,,2331
1관,Into Drawing 30 플루이드 네온,20160909,20160925,P,종료    ,소마드로잉센터 전시실(제1전시실),,,국민체육진흥공단 소마미술관,장파 Jang Pa,회화 작품 6여점,"10:00~18:00(입장마감 17:20)▒문화가 있는 날(매월 마지막 주 수요일 및 금요일) 야간 연장 개관(10:00~21:00, 입장마감 20:20)▒문화의 달(2016년 9월 23일 ~ 10월 30일) 기존과 운영시간 동일▒매주 월요일 및 추석 당일 휴관",▒▒▒메인 전시(어느 곳도 아닌 이곳) 관람 시 무료 관람▒문화가 있는 날 전체 관람객 무료입장▒문화의 달 전체 관람객 무료입장,,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/07/63bb3cdd-a0c7-48ef-bc80-3a916dec01ec.jpg,D2016_인투드로잉 30-포스터.pdf_page_1.jpg,Into Drawing 30_Fluid Neon,,1957
1관,어느 곳도 아닌 이 곳,20160909,20161211,P,종료    ,소마미술관 2F 전시실,,,국민체육진흥공단 소마미술관,"김기성, 김용관, 김지은, 박여주, 박혜수, 천대광, 카입, 한경우 등 총 8명",공간 설치 작품 8점,"10:00~18:00(입장마감 17:20)▒문화가 있는 날(매월 마지막 주 수요일 및 금요일) 야간 연장 개관(10:00~21:00, 입장마감 20:20)▒문화의 달(2016년 9월 23일 ~ 10월 30일) 기존과 운영시간 동일▒매주 월요일 및 추석 당일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원▒성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원▒▒문화가 있는 날 전체 관람객 무료입장▒문화의 달 전체 관람객 무료입장",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/07/87dc148c-4afd-4158-b915-98e4bcf3021a.jpg,2016_어느곳도아닌이곳_포스터.pdf_page_1.jpg,SOME WHERE NO WHERE,,11932
1관,"그다음 몸_담론, 실천, 재현으로서의 예술",20160610,20160828,P,종료    ,소마미술관 전관,,,국민체육진흥공단 소마미술관,"김무영, 김옥선, 김인배, 김월식, 노승복, 니키리,박보나, 박진아, 백남준, 안은미, 오석근, 유목연,이병호, 이우성, 차학경 총 15명","회화, 조각, 사진, 설치, 영상, 퍼포먼스 등 총 100여점","10:00~18:00(입장마감 17:20)▒문화가 있는 날(매월 마지막 주 수요일 및 금요일) 야간 연장 개관(10:00~21:00, 입장마감 20:20)▒매주 월요일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원▒성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원▒▒문화가 있는 날 전체 관람객 무료입장",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/15/4321df71-3721-4ce6-997d-08bcc56a3088.jpg,"그 다음 몸_담론, 실천, 재현으로서의 예술.jpg",BODY MATTERS,,7501
1관,"안녕, 푸",20190822,20200202,P,종료    ,소마미술관 1관,20190821,1700,"국민체육진흥공단, 빅토리아 앤 알버트 뮤지엄 / 소마미술관, ㈜바이스","E.H.쉐퍼드의 오리지널 드로잉, A.A.밀른의 원고 및 편지, 사진 등",곰돌이 푸 원작 속 이야기 소재 230여 점,"[8.22~11.30]10:00~20:00(입장마감 19:00)_[12.1~2.2]10:00~18:00(17:00)▒문화가 있는 날(매월 마지막 수요일) 야간 연장개관(10:00~21:00, 입장마감 20:00)▒매주 월요일 휴관","성인(만19세~64세)_15,000원/청소년(만13세~18세)_12,000원/어린이(36개월이상~만12세)_9,000원▒2,000원 할인 ▒.▒무료_36개월 미만, 장애인 중증(기존 1~3급) 본인 및 동반 1인, 국가유공자 본인▒특별할인_8,000원_만 65세 이상, 장애인 경증(기존 4~6급) 본인, 국가유공자 유족 본인▒예술인 패스 소지자는 청소년 요금 적용▒문화가 있는 날 : 오후 6시 이후 입장시 50% 할인",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/12/30/9902792a-4dc3-435e-9c37-f7dce7b588c3.jpg,20191230.jpg,Winnie the Pooh-Exploring a Classic,,22997
1관,소마드로잉센터 아카이브 등록작가 초대展 &ldquo;소마 드로잉_무심(無心)&rdquo;,20151030,20160214,P,종료    ,소마미술관 1~4 전시실,,,국민체육진흥공단 소마미술관,총 230명,"드로잉, 회화, 조각, 오브제, 사진, 영상, 설치 총 230여점","10:00~18:00(입장마감 17:20)▒도슨트 시간 : [화~금] 오후 2시, 4시 [주말] 오전 11시, 오후 1시, 2시, 4시▒문화가 있는 날(매월 마지막 주 수요일 및 금요일) 야간 연장 개관(10:00~21:00, 입장마감 20:20)▒매주 월요일 및 1월 1일, 설날 당일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원▒성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원▒▒문화가 있는 날 전체 관람객 무료 입장",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/57778404-8fb8-4849-bfb0-1bea07ea35c5.jpg,2015_소마드로잉_포스터.pdf_page_1.jpg,SOMA DRAWING Mindful Mindless,,6684
1관,&lt;표정과 몸짓_소마미술관 소장품&gt;展,20150917,20151018,P,종료    ,"소마미술관 제 1 ~ 4 전시실, 비디오아트홀",,,KSPO(국민체육진흥공단) 소마미술관,"백남준, 박수근, 박고석, 이승택 등 총 50여명","회화, 드로잉, 사진, 조각, 영상 등 총 130여점","10:00~18:00(입장마감 17:20)▒도슨트 시간 : [화~금] 오후 2시, 4시 [주말] 오전 11시, 오후 1시, 2시, 4시▒매주 월요일 및 추석 당일 휴관","성인, 대학생 3,000원, 청소년(13~18세), 예술인패스 소지자 2,000원, 어린이(12세 이하) 1,000원▒성인, 대학생 1,500원, 청소년(13~18세), 예술인패스 소지자 1,000원, 어린이(12세 이하) 500원▒만 4세미만, 만 65세 이상, 국가유공자, 장애인 무료▒",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/15/4321b1de-7c41-4d58-9322-501fbbba1fa1.jpg,표정과 몸짓_소마미술관 소장품.jpg,Expressions and Gestures,,3694
1관,SOMA 야외 프로젝트 S,20150918,20151018,P,종료    ,"소마미술관 5전시실, 미술관 야외 공간",,,"국민체육진흥공단, 소마미술관","국형걸+전병삼, 조은필+유재우, 양수인+카입, 손몽주+안용대, 천대광+장영철 이상 총 10명","설치, 사진, 영상, 모형, 드로잉 작품 20여점","10:00~18:00(입장마감 17:20)▒도슨트 시간 : [화~금] 오후 2시, 4시 [주말] 오전 11시, 오후 1시, 2시, 4시▒매주 월요일 및 추석 당일 휴관","성인, 대학생 3,000원, 청소년(13~18세), 예술인패스 소지자 2,000원, 어린이(12세 이하) 1,000원▒성인, 대학생 1,500원, 청소년(13~18세), 예술인패스 소지자 1,000원, 어린이(12세 이하) 500원▒만 4세미만, 만 65세 이상, 국가유공자, 장애인 무료▒",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/15/a79e4d24-8bb9-4671-a7c4-736f46695357.jpg,SOMA 야외 프로젝트 S.jpg,SOMA outdoor project S,,2033
1관,"밀레, 모더니즘의 탄생",20150125,20150510,P,종료    ,소마미술관(올림픽공원 내),,,"국민체육진흥공단, 서울경제, 한국일보문화사업단",,"밀레(25점), 바르비종 &amp;amp;amp;amp; 퐁텐블로 풍경화가(39점) 등 총 20인의 작품 64점","[월, 화, 수, 목, 주말, 공휴일] 10:00~20:00(입장마감 19:20)▒[금] 10:00~21:00(입장마감 20:20)▒매월 마지막 주 월요일 휴관","성인(만19~64세) 14,000원, 청소년(만13~18세) 10,000원, 어린이(만7~12세 이하) 8,000원▒성인(만19~64세) 12,000원, 청소년(만13~18세) 8,000원, 어린이(만7~12세 이하) 6,000원▒만 4세미만, 만 65세 이상, 국가유공자 본인, 장애인(1-3급 본인과 보호자 1인) 무료▒특별요금 (6,000원) 만 65세 이상(신분증 지참시), 장애인 4-6급, 미취학아동 만4-6세, 국가유공자유족증 소유자(본인), 독립유공자유족증 소유자(본인), 의사상자유족증 소유자▒한국문화예술위원회에서 발행한 예술인패스 소지자(본인)는 성인 단체요금(12,000)으로 관람하실 수 있습니다.",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/15/f471cf12-e0db-46cf-b18a-b678e3755c4b.jpg,"밀레, 모더니즘의 탄생.JPG","Millet, Barbizon &amp; Fontainebleau",,17335
1관,Retro_86~88,20141114,20150111,P,종료    ,소마미술관 제 1~5전시실,,,국민체육진흥공단 소마미술관,"이상현, 조지 리키 외 총 40~50명","조각, 설치 ,회화, 드로잉, 사진자료 등 60~80여점","10:00~18:00(입장마감 17:20)▒도슨트 시간 : [화~금] 오후 2시, 4시 [주말] 오전 11시, 오후 1시, 2시, 4시▒매주 월요일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원▒성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원▒만 4세미만, 만 65세 이상, 국가유공자, 장애인 무료▒예술인패스 및 대학교 학생증 소지자 (청소년 요금 적용)",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/04f252e4-c0fc-4335-8547-6f9c55010609.jpg,2014_Retro86-88_포스터.jpg,Retro_86~88,,4569
1관,"Into Drawing 24 부정이 아닌 시치미, 긍정이 아닌 너스레",20140815,20140831,P,종료    ,소마드로잉센터 전시실(제5전시실),,,국민체육진흥공단 소마미술관,김은숙 Eunsook Kim,공간설치작품,10:00~18:00(입장마감 17:00)▒매주 월요일 및 추석당일 휴관,▒▒▒메인 전시 (Water_천진난만) 관람 시 무료 관람,,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/302d38a0-35ef-4ab0-b288-7be36acc50c1.jpg,D2014_into drawing24_포스터.pdf_page_1.jpg,"Into Drawing 24_Feigned innocence rather than Negative, Idle remarks rather than Positive",,687
1관,Water_천진난만,20140815,20141026,P,종료    ,소마미술관 1~4 전시실 및 야외 공간,,,국민체육진흥공단 소마미술관,"강은수, 김연, 김창겸, 김창환, 박상화 ,박정선(1), 박정선(2), 백남준, 변경수, 부지현, 송창애, 안규철, 안종연, 원성원, 이기봉, 이상원, 이예린, 이용제, 정기엽, 폴 뷔리, 하원, 한호 총 22명","조각, 설치, 영상, 회화, 사진, 드로잉 등 총 40여점","10:00~18:00(입장마감 17:00)▒도슨트 시간 : [화~금] 오후 2시, 4시 [주말] 오전 11시, 오후 1시, 2시, 4시▒매주 월요일 및 추석 당일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원▒성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원▒만 4세미만, 만 65세 이상, 국가유공자, 장애인 무료▒예술인 패스 소지자 및 대학교 학생증 소지자는 청소년 요금 적용",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/58609c86-4be4-4515-8b70-683fc8768c77.jpg,2014_Water-천진난만_포스터.pdf_page_1.jpg,WATER_INNOCENCE,,7318
1관,몸의 사유_Thoughts on Body,20121005,20121216,P,종료    ,소마미술관 제1~4전시실,,,국민체육진흥공단 소마미술관,"권오상, 김기라, 김준, 데비한, 문성원, 변웅필, 육근병, 이동재, 이병호, 이용백, 이형구, 최수앙(총12명)","드로잉, 회화, 조각, 영상, 설치 등 50여점",10:00~18:00(입장마감 17:00)▒매주 월요일 휴관,"성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원▒성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원▒▒문화의 날(10월 20일) 무료관람▒Soma가는 날(10월 27일, 11월 24일) 무료관람",,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/0e1f2176-c3a8-4138-bc41-c9cd72f2b50e.jpg,2012_몸의사유_포스터.jpg,Thoughts on Body,,6410
1관,작가 재조명전 &#39;쉬지 않는 손&#39;,20071018,20080106,P,종료    ,소마미술관,,,국민체육진흥공단,"김주호, 박한진, 이건용",50여 점,10:00~18:00(입장마감 17:00)▒매주 월요일 휴관,▒▒▒,,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/xhbt/image/2007110918060946419.jpg,2007110918060946419.jpg,"Artist Rediscovered_Restless Hand, Wandering Mind",,11815
1관,누보 팝(Les Nouveaux Pop),20070712,20070930,P,종료    ,소마미술관,,,국민체육진흥공단,크레킹 아트 회 9명,70여 점,10:00~18:00(입장마감 17:00)▒매주 월요일 휴관,▒▒▒,,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/display/2019/01/08/4a41794d-312e-4a28-a1bf-24b862fdc532.jpg,2007_누보팝_포스터.pdf_page_1.jpg,Les Nouveaux Pop,,17554
1관,막긋기(Drawn to Drawing II),20070215,20070318,P,종료    ,소마미술관,,,국민체육진흥공단,고지영 외 43명,100여 점,10:00~18:00(입장마감 17:00)▒매주 월요일 휴관,▒▒▒,,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/xhbt/image/2007013018034152966.jpg,2007013018034152966.jpg,Drawn to Drawing II,,9332
1관,서울올림픽미술관 사진전『공원 The Park』,20051209,20060219,P,종료    ,서울올림픽미술관 제 1~5 전시실,,,서울올림픽미술관 / 국민체육진흥공단,김광수 외 13명,사진작품 70여점,10:00~18:00(입장마감 17:00)▒매주 월요일 휴관,▒▒▒,,,https://soma.kspo.or.krhttps://soma.kspo.or.krhttps://soma.kspo.or.kr/manage/upload_files/xhbt/image/2005112816432486783.jpg,2005112816432486783.jpg,The PARK,,8016
